Group	Team	Player	CVCTag
sYAG	Ruthless Mekanism	Varun Chakaravarthy	
sYAG	Ruthless Mekanism	Shivam Dube	
sYAG	Ruthless Mekanism	Rishabh Pant	
sYAG	Ruthless Mekanism	Travis Head	C
sYAG	Ruthless Mekanism	Rohit Sharma	
sYAG	Ruthless Mekanism	Jos Buttler	
sYAG	Ruthless Mekanism	Sunil Narine	VC
sYAG	Ruthless Mekanism	Rajat Patidar	
sYAG	Ruthless Mekanism	Prabhsimran Singh	
sYAG	Ruthless Mekanism	Krunal Pandya	
sYAG	Ruthless Mekanism	Harshal Patel	
sYAG	Ruthless Mekanism	Nitish Rana	
sYAG	Ruthless Mekanism	Ravichandran Ashwin	
sYAG	Ruthless Mekanism	Shahbaz Ahmed	
sYAG	Ruthless Mekanism	Kagiso Rabada	
sYAG	ManTanRays	Arshdeep Singh	
sYAG	ManTanRays	Ravindra Jadeja	
sYAG	ManTanRays	Lokesh Rahul	
sYAG	ManTanRays	Suryakumar Yadav	VC
sYAG	ManTanRays	Yashasvi Jaiswal	C
sYAG	ManTanRays	Andre Russell	
sYAG	ManTanRays	Will Jacks	
sYAG	ManTanRays	Jake Fraser-McGurk	
sYAG	ManTanRays	David Miller	
sYAG	ManTanRays	Noor Ahmad	
sYAG	ManTanRays	Angkrish Raghuvanshi	
sYAG	ManTanRays	Azmatullah Omarzai	
sYAG	ManTanRays	Jacob Bethell	
sYAG	ManTanRays	Vaibhav Arora	
sYAG	ManTanRays	Robin Minz	
sYAG	Kand Karenge	Jasprit Bumrah	
sYAG	Kand Karenge	Matheesha Pathirana	
sYAG	Kand Karenge	Hardik Pandya	C
sYAG	Kand Karenge	Dhruv Jurel	
sYAG	Kand Karenge	Heinrich Klaasen	
sYAG	Kand Karenge	Shreyas Iyer	VC
sYAG	Kand Karenge	Nitish Kumar Reddy	
sYAG	Kand Karenge	Mohammed Shami	
sYAG	Kand Karenge	Rachin Ravindra	
sYAG	Kand Karenge	Mitchell Starc	
sYAG	Kand Karenge	Shimron Hetmyer	
sYAG	Kand Karenge	Deepak Chahar	
sYAG	Kand Karenge	Shashank Singh	
